abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,age,sex,race,hispanic,degree,partyid,relig,relactiv,rincom06,z.age,female,white,black,otherrace,collegeed,protestant,catholic,atheist,z.partyid,z.relactiv,z.rincom06,prochoice,se_prochoice
1,1,1,1,1,1,1,32,1,1,0,1,1,4,0,20,-0.488536169,0,1,0,0,0,0,0,1,-0.430821698,-0.419133599,0.40180687,0.962057214,0.573059215
1,1,1,1,1,1,1,68,2,1,0,4,3,4,0,NA,0.545241564,1,1,0,0,1,0,0,1,0.088879513,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,0,1,0,38,1,3,0,4,5,7,0,25,-0.31623988,0,0,0,1,1,0,0,0,0.608580724,-0.419133599,0.814562746,0.008152161,0.127769447
0,1,0,1,0,1,0,77,1,2,0,4,0,1,7,NA,0.803685997,0,0,1,0,1,1,0,0,-0.690672303,1.077784214,NA,-0.438298029,0.256542133
1,1,1,1,1,0,1,47,1,2,0,1,0,1,2,14,-0.057795447,0,0,1,0,0,1,0,0,-0.690672303,0.008557205,-0.093500182,0.45449388,0.283213444
1,1,1,1,1,1,1,54,2,2,0,1,0,1,3,22,0.14321689,1,0,1,0,0,1,0,0,-0.690672303,0.222402607,0.56690922,0.962057214,0.573059215
1,1,0,1,0,1,0,64,2,2,0,4,0,1,4,21,0.430377371,1,0,1,0,1,1,0,0,-0.690672303,0.436248009,0.484358045,-0.139170572,0.159109936
1,1,1,1,1,1,1,30,2,1,1,4,1,2,0,18,-0.545968265,1,1,0,0,1,0,1,0,-0.430821698,-0.419133599,0.236704519,0.962057214,0.573059215
1,1,1,1,1,1,1,61,1,1,0,4,6,3,0,25,0.344229227,0,1,0,0,1,0,0,0,0.868431329,-0.419133599,0.814562746,0.962057214,0.573059215
1,1,1,1,1,1,1,63,1,1,0,3,NA,3,0,NA,0.401661323,0,1,0,0,1,0,0,0,NA,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,41,1,1,1,4,1,2,0,21,-0.230091736,0,1,0,0,1,0,1,0,-0.430821698,-0.419133599,0.484358045,0.962057214,0.573059215
1,1,1,1,1,1,1,57,2,3,0,3,3,4,0,21,0.229365034,1,0,0,1,1,0,0,1,0.088879513,-0.419133599,0.484358045,0.962057214,0.573059215
0,0,0,0,0,0,0,55,1,1,0,1,3,11,0,19,0.171932938,0,1,0,0,0,0,0,0,0.088879513,-0.419133599,0.319255694,-1.716551686,0.515365984
0,0,0,0,0,0,0,81,2,1,0,1,6,2,2,NA,0.91855019,1,1,0,0,0,0,1,0,0.868431329,0.008557205,NA,-1.716551686,0.515365984
1,1,1,1,1,1,1,38,2,1,0,4,1,1,2,20,-0.31623988,1,1,0,0,1,1,0,0,-0.430821698,0.008557205,0.40180687,0.962057214,0.573059215
1,1,1,1,1,1,1,37,1,1,0,1,NA,4,2,8,-0.344955928,0,1,0,0,0,0,0,1,NA,0.008557205,-0.588807234,0.962057214,0.573059215
1,1,1,1,1,1,1,45,2,1,0,4,0,4,2,NA,-0.115227543,1,1,0,0,1,0,0,1,-0.690672303,0.008557205,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,74,2,1,0,3,3,4,0,10,0.717537853,1,1,0,0,1,0,0,1,0.088879513,-0.419133599,-0.423704883,0.962057214,0.573059215
0,1,1,1,0,1,0,54,1,1,0,1,3,3,2,15,0.14321689,0,1,0,0,0,0,0,0,0.088879513,0.008557205,-0.010949007,-0.132540911,0.157111797
1,1,1,1,1,1,1,48,1,1,0,2,4,2,1,22,-0.029079399,0,1,0,0,0,0,1,0,0.348730119,-0.205288197,0.56690922,0.962057214,0.573059215
0,0,0,1,0,1,0,46,1,1,0,1,6,2,3,NA,-0.086511495,0,1,0,0,0,0,1,0,0.868431329,0.222402607,NA,-0.729203642,0.323631624
0,1,0,0,0,0,0,51,1,3,1,0,1,2,0,15,0.057068746,0,0,0,1,0,0,1,0,-0.430821698,-0.419133599,-0.010949007,-1.08150412,0.374214945
1,1,1,1,1,1,1,54,1,3,1,0,0,2,1,16,0.14321689,0,0,0,1,0,0,1,0,-0.690672303,-0.205288197,0.071602168,0.962057214,0.573059215
1,1,1,1,1,1,1,75,2,1,0,4,2,2,0,NA,0.746253901,1,1,0,0,1,0,1,0,-0.170971092,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,50,2,1,0,2,3,5,0,NA,0.028352698,1,1,0,0,0,0,0,0,0.088879513,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,59,2,2,0,3,0,1,2,1,0.286797131,1,0,1,0,1,1,0,0,-0.690672303,0.008557205,-1.166665461,0.962057214,0.573059215
1,1,1,1,1,1,1,45,2,1,0,4,0,4,3,21,-0.115227543,1,1,0,0,1,0,0,1,-0.690672303,0.222402607,0.484358045,0.962057214,0.573059215
1,1,1,1,1,1,1,55,1,1,1,2,5,4,0,17,0.171932938,0,1,0,0,0,0,0,1,0.608580724,-0.419133599,0.154153344,0.962057214,0.573059215
1,1,1,1,1,1,1,62,2,1,0,4,5,10,2,NA,0.372945275,1,1,0,0,1,0,0,0,0.608580724,0.008557205,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,46,1,1,0,3,2,4,0,23,-0.086511495,0,1,0,0,1,0,0,1,-0.170971092,-0.419133599,0.649460396,0.962057214,0.573059215
1,1,1,1,0,1,1,59,1,1,0,1,3,4,0,NA,0.286797131,0,1,0,0,0,0,0,1,0.088879513,-0.419133599,NA,0.219128625,0.161146865
0,0,1,1,1,1,1,20,2,2,0,1,2,4,0,3,-0.833128746,1,0,1,0,0,0,0,1,-0.170971092,-0.419133599,-1.001563111,0.165690301,0.146079605
0,0,0,0,0,0,0,26,2,1,1,1,3,2,3,NA,-0.660832458,1,1,0,0,0,0,1,0,0.088879513,0.222402607,NA,-1.716551686,0.515365984
0,0,0,1,0,1,0,46,1,1,1,1,2,4,0,3,-0.086511495,0,1,0,0,0,0,0,1,-0.170971092,-0.419133599,-1.001563111,-0.729203642,0.323631624
0,0,0,0,0,1,0,56,2,1,1,0,3,1,4,NA,0.200648986,1,1,0,0,0,1,0,0,0.088879513,0.436248009,NA,-1.136585879,0.382354647
1,1,1,1,1,1,1,45,2,3,1,1,1,2,0,15,-0.115227543,1,0,0,1,0,0,1,0,-0.430821698,-0.419133599,-0.010949007,0.962057214,0.573059215
1,1,1,1,1,1,1,48,1,2,0,3,2,13,1,20,-0.029079399,0,0,1,0,1,0,0,0,-0.170971092,-0.205288197,0.40180687,0.962057214,0.573059215
0,0,0,1,0,1,0,31,1,2,0,1,4,11,1,18,-0.517252217,0,0,1,0,0,0,0,0,0.348730119,-0.205288197,0.236704519,-0.729203642,0.323631624
1,1,1,1,1,1,0,37,1,2,0,3,0,1,7,20,-0.344955928,0,0,1,0,1,1,0,0,-0.690672303,1.077784214,0.40180687,0.158220972,0.144443559
0,1,0,1,1,0,0,26,2,1,1,1,1,2,0,NA,-0.660832458,1,1,0,0,0,0,1,0,-0.430821698,-0.419133599,NA,-0.192274063,0.17582166
0,1,0,1,0,1,0,54,2,1,1,0,2,4,0,6,0.14321689,1,1,0,0,0,0,0,1,-0.170971092,-0.419133599,-0.753909585,-0.438298029,0.256542133
0,1,0,1,0,1,0,79,2,1,NA,1,4,1,2,NA,0.861118093,1,1,0,0,0,1,0,0,0.348730119,0.008557205,NA,-0.438298029,0.256542133
0,1,0,1,0,0,0,27,1,1,1,1,2,2,0,14,-0.632116409,0,1,0,0,0,0,1,0,-0.170971092,-0.419133599,-0.093500182,-0.689739486,0.316600417
0,1,0,1,0,1,0,63,1,1,0,1,4,1,0,NA,0.401661323,0,1,0,0,0,1,0,0,0.348730119,-0.419133599,NA,-0.438298029,0.256542133
0,1,0,1,1,1,0,25,1,2,0,1,1,1,1,9,-0.689548506,0,0,1,0,0,1,0,0,-0.430821698,-0.205288197,-0.506256059,-0.111693461,0.150989598
0,1,0,1,0,1,0,34,2,2,0,0,1,11,5,NA,-0.431104072,1,0,1,0,0,0,0,0,-0.430821698,0.650093411,NA,-0.438298029,0.256542133
1,1,1,1,1,1,1,46,1,3,0,3,2,1,7,20,-0.086511495,0,0,0,1,1,1,0,0,-0.170971092,1.077784214,0.40180687,0.962057214,0.573059215
0,1,0,1,0,1,0,34,2,3,1,1,2,2,0,17,-0.431104072,1,0,0,1,0,0,1,0,-0.170971092,-0.419133599,0.154153344,-0.438298029,0.256542133
1,1,1,1,1,1,1,22,2,1,1,0,3,4,0,NA,-0.77569665,1,1,0,0,0,0,0,1,0.088879513,-0.419133599,NA,0.962057214,0.573059215
0,0,0,1,0,0,0,53,2,1,1,0,3,2,0,8,0.114500842,1,1,0,0,0,0,1,0,0.088879513,-0.419133599,-0.588807234,-1.102688074,0.377283687
0,0,0,0,0,0,0,54,2,1,1,0,5,2,0,NA,0.14321689,1,1,0,0,0,0,1,0,0.608580724,-0.419133599,NA,-1.716551686,0.515365984
1,1,1,1,1,1,1,50,2,3,0,1,NA,5,5,NA,0.028352698,1,0,0,1,0,0,0,0,NA,0.650093411,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,19,1,2,0,1,3,4,0,NA,-0.861844794,0,0,1,0,0,0,0,1,0.088879513,-0.419133599,NA,0.962057214,0.573059215
